gene,log2FoldChange,pvalue,padj
IL6R,-3.328018313,1.71E-06,6.49E-05
MROH2B,8.766647259,1.73E-06,6.53E-05
LINC00598,5.550496139,1.79E-06,6.75E-05
DMRTB1,6.479676759,1.82E-06,6.86E-05
DMBT1,7.158734686,1.83E-06,6.86E-05
CREG1,-3.085482267,1.83E-06,6.87E-05
GPR101,8.957153026,1.85E-06,6.94E-05
TCF7L1,2.811143074,1.87E-06,6.97E-05
SLC5A1,8.737248957,1.87E-06,6.97E-05
CGN,4.940097193,1.89E-06,7.04E-05
TGM5,10.61115902,1.91E-06,7.07E-05
CRYBG2,8.442770603,1.91E-06,7.07E-05
SIRPA,-3.56240258,1.92E-06,7.07E-05
ADGRG6,-3.161824436,1.92E-06,7.07E-05
SLC45A4,3.158895087,1.92E-06,7.07E-05
SLC34A2,6.522353137,1.93E-06,7.07E-05
OR10A4,6.318632568,1.97E-06,7.23E-05
EHF,10.13355834,1.99E-06,7.26E-05
GLRA4,8.619223624,1.99E-06,7.26E-05
ATAD3C,4.674072077,2.04E-06,7.42E-05
TM9SF2,-2.112844059,2.07E-06,7.53E-05
FBN2,6.878563226,2.14E-06,7.78E-05
KLHL34,8.752254295,2.16E-06,7.82E-05
SNORA71C,4.458498385,2.18E-06,7.88E-05
PROKR1,6.674857203,2.18E-06,7.88E-05
TMEM154,-7.166141289,2.26E-06,8.14E-05
STRIP2,5.132714051,2.30E-06,8.28E-05
ECT2L,6.512121626,2.34E-06,8.41E-05
MUC17,7.537365451,2.35E-06,8.41E-05
KCP,4.31219257,2.38E-06,8.50E-05
VGF,6.286576432,2.39E-06,8.52E-05
MEX3C,3.605346596,2.42E-06,8.60E-05
RALYL,5.500931425,2.46E-06,8.73E-05
PPT1,-3.021146826,2.46E-06,8.73E-05
SNORA38B,3.262672241,2.47E-06,8.73E-05
SLC25A28,4.101192777,2.49E-06,8.78E-05
SCARNA1,-5.877196874,2.49E-06,8.79E-05
TNNI1,8.3015217,2.59E-06,9.12E-05
CD164,-2.353297506,2.62E-06,9.19E-05
ADAMTS13,5.828609332,2.65E-06,9.28E-05
ADAMTS13,5.828609332,2.65E-06,9.28E-05
KRT77,9.982593776,2.66E-06,9.33E-05
TUBB3,3.846272896,2.70E-06,9.41E-05
TERT,8.809741011,2.70E-06,9.41E-05
FSHR,7.729491315,2.71E-06,9.42E-05
APCDD1L-DT,6.124462768,2.79E-06,9.67E-05
APBB1IP,-2.991714531,2.81E-06,9.75E-05
CEACAM3,4.974855308,2.85E-06,9.87E-05
EMB,-3.289458212,2.89E-06,9.99E-05
GSG1,8.792221804,2.98E-06,0.000102651
IMPG2,5.61305155,2.99E-06,0.000103
LILRA2,-6.642720124,3.03E-06,0.000104126
LILRA2,-6.642720124,3.03E-06,0.000104126
LILRA2,-6.642720124,3.03E-06,0.000104126
LILRA2,-6.642720124,3.03E-06,0.000104126
TECPR1,2.619070822,3.10E-06,0.000106149
FER1L6,7.668191173,3.21E-06,0.000109809
BRSK2,3.750420473,3.22E-06,0.000110125
ANXA13,8.415838657,3.30E-06,0.000112414
ZNF208,5.943874289,3.31E-06,0.000112515
SELENOS,3.477315214,3.33E-06,0.000113021
CA12,7.825778917,3.35E-06,0.000113491
C1QC,-3.486872989,3.36E-06,0.000113491
SFTPB,6.406896352,3.36E-06,0.000113491
TBX2,3.390634209,3.37E-06,0.000113705
SPATA3-AS1,8.91840565,3.43E-06,0.000115451
KCNH2,6.251202081,3.45E-06,0.000115819
AHRR,4.791450944,3.47E-06,0.000116242
GPC5,5.179231074,3.50E-06,0.000117305
DNAAF6,9.947551221,3.62E-06,0.000120894
UMOD,9.947551221,3.62E-06,0.000120894
RAB33B,-3.905073398,3.71E-06,0.000123299
PTGS1,-2.854887558,3.71E-06,0.000123299
LMNA,1.871643592,3.76E-06,0.000124685
PKIB,5.094770522,3.77E-06,0.000124837
DAZAP1,4.633192734,3.81E-06,0.000125836
FFAR4,4.684635802,3.85E-06,0.000127123
HJV,8.671605776,3.87E-06,0.000127497
MIR210HG,4.776591134,3.88E-06,0.00012752
OLR1,-3.492242055,3.96E-06,0.0001298
COL7A1,4.511545159,4.08E-06,0.000133691
HSPA1A,-3.906489861,4.21E-06,0.000137795
HSPA1A,-3.906489861,4.21E-06,0.000137795
HSPA1A,-3.906489861,4.21E-06,0.000137795
HSPA1A,-3.906489861,4.21E-06,0.000137795
HSPA1A,-3.906489861,4.21E-06,0.000137795
FCGR2A,-3.279844006,4.22E-06,0.000137861
HLA-DOA,-4.124088568,4.35E-06,0.000141822
HLA-DOA,-4.124088568,4.35E-06,0.000141822
HLA-DOA,-4.124088568,4.35E-06,0.000141822
HLA-DOA,-4.124088568,4.35E-06,0.000141822
HLA-DOA,-4.124088568,4.35E-06,0.000141822
HLA-DOA,-4.124088568,4.35E-06,0.000141822
HLA-DOA,-4.124088568,4.35E-06,0.000141822
GREB1L,5.361720346,4.37E-06,0.000142033
SIM2,5.219140929,4.41E-06,0.000142995
RET,6.996492814,4.42E-06,0.000142995
FSTL3,4.543698471,4.42E-06,0.000142995
TRIM42,8.352472728,4.52E-06,0.00014598
MCU,4.212366705,4.59E-06,0.000147912
SCARNA10,-2.252568041,4.60E-06,0.000147912
C1QTNF8,8.54713361,4.67E-06,0.000150122
IL36RN,8.627034744,4.71E-06,0.000150945
OSBPL10,2.549324378,4.72E-06,0.000151126
LOXHD1,7.674261264,4.80E-06,0.000153237
RBM25,2.557463721,4.80E-06,0.000153237
DNAAF3,8.477037581,4.82E-06,0.000153587
TFR2,6.337278587,4.89E-06,0.000155549
PROM2,7.150692822,4.92E-06,0.000156292
SP9,6.013179205,4.98E-06,0.000157635
DONSON,5.442608974,4.98E-06,0.000157635
SCARNA5,-2.602881542,5.06E-06,0.000159769
SCARNA5,-2.602881542,5.06E-06,0.000159769
WT1-AS,8.846472567,5.20E-06,0.000163852
CYP26B1,6.411404691,5.27E-06,0.000165906
BIN1,-3.003322162,5.33E-06,0.000167319
PTGER4,-3.223831444,5.41E-06,0.000169646
NOX4,3.9470302,5.54E-06,0.000173414
GPC2,6.15253585,5.67E-06,0.000177105
HSD17B12,-4.042462525,5.68E-06,0.000177133
PFKFB3,-2.1727147,5.69E-06,0.000177133
PRMT8,7.316388916,5.80E-06,0.000180237
TLR10,-5.854507679,5.89E-06,0.000182735
C1orf87,8.78985642,6.12E-06,0.000189641
SLC6A18,5.777580281,6.16E-06,0.000190001
LCT,6.697554149,6.16E-06,0.000190001
TBX5,8.599306615,6.17E-06,0.000190001
AMER3,8.193771545,6.17E-06,0.000190001
INSR,3.617431499,6.19E-06,0.000190209
CCDC169,8.856358957,6.20E-06,0.000190215
LAMP1,-2.38228888,6.32E-06,0.000193564
TBX4,7.417743903,6.33E-06,0.000193564
CRYGN,9.201088248,6.51E-06,0.000198934
GNB4,-3.003599515,6.65E-06,0.000202623
CAPN12,4.513132572,6.72E-06,0.000204185
ATP4A,7.068330561,6.72E-06,0.000204185
LOC284798,8.427201156,6.84E-06,0.000207561
FAM171A2,4.134030707,6.93E-06,0.000209937
NEUROD1,9.207984884,7.00E-06,0.000211688
LRP12,4.901107316,7.14E-06,0.000215593
RSPO1,5.414935954,7.18E-06,0.00021616
GTPBP3,2.903907787,7.19E-06,0.00021616
SATB2-AS1,5.87121026,7.20E-06,0.00021616
C1QA,-3.116520127,7.23E-06,0.000216843
FOXA1,6.989953318,7.37E-06,0.000220789
PIWIL3,7.48979242,7.43E-06,0.000222196
AIF1L,-2.586465335,7.50E-06,0.000223698
KIAA1217,3.353409394,7.53E-06,0.000224219
BTBD19,2.982163815,7.62E-06,0.000226667
PLXNB1,2.914648511,7.73E-06,0.000229629
SCARB2,-2.481321681,7.80E-06,0.000231343
GRHL2,8.628620063,7.82E-06,0.000231508
SPDYE7P,5.868218741,7.84E-06,0.000231653
DTX4,3.382468554,7.97E-06,0.000235154
FAM193B,2.910145889,8.09E-06,0.000238473
SLC39A5,5.592991028,8.12E-06,0.000238955
PLEKHG5,2.372403187,8.21E-06,0.000241238
KLHL29,3.453065633,8.39E-06,0.000246041
SNORD46,-5.880928602,8.47E-06,0.00024796
IFNGR1,-2.100113607,8.54E-06,0.000249524
C6orf118,7.302098996,8.59E-06,0.000250565
WDFY4,-2.92593289,8.66E-06,0.000252307
FAM78B,4.575442628,8.67E-06,0.000252307
CYFIP1,-2.751983949,8.74E-06,0.000253949
CYFIP1,-2.751983949,8.74E-06,0.000253949
CYFIP1,-2.751983949,8.74E-06,0.000253949
LRP1,-3.045028022,8.89E-06,0.000257879
HOXA11-AS,9.52818348,8.92E-06,0.000258253
DISP2,5.435326399,9.01E-06,0.000260504
FAM83D,6.61947008,9.05E-06,0.000261277
PRR36,4.738472874,9.19E-06,0.000264687
CH25H,-6.730895667,9.22E-06,0.00026531
EHMT1,2.202129117,9.25E-06,0.000265689
LINC00226,7.085340837,9.30E-06,0.000266722
LOC441242,3.831060283,9.33E-06,0.000267056
LRRC7,3.731073992,9.41E-06,0.00026917
WFDC2,7.111865608,9.45E-06,0.000269883
SNORA80A,4.841837271,9.48E-06,0.000270157
MANEAL,4.072779164,9.55E-06,0.000271753
MMGT1,-3.55436466,9.62E-06,0.000273459
MYH13,7.338665525,9.73E-06,0.000275746
MAP3K19,8.922437907,9.73E-06,0.000275746
NEUROG2,8.492549697,9.94E-06,0.000281274
SLC6A2,8.376365133,1.01E-05,0.000283922
BMP1,2.960351516,1.01E-05,0.000284815
IMPG1,8.477554771,1.01E-05,0.000284815
GSG1L,5.235185254,1.01E-05,0.000284815
DGAT2-DT,6.311751637,1.02E-05,0.000286887
SARDH,6.372289495,1.03E-05,0.00028834
PMAIP1,-4.60351182,1.04E-05,0.00029136
CD74,-2.748694815,1.05E-05,0.000292126
LINC00907,5.364475962,1.05E-05,0.000292882
UNC13A,3.992013178,1.06E-05,0.000294227
CUBN,4.772931183,1.07E-05,0.000297932
PIK3IP1,-2.996328423,1.07E-05,0.000297932
FRK,3.453245969,1.09E-05,0.000301924
EXTL1,5.604675011,1.10E-05,0.000303331
MAPK8IP1P2,5.012269321,1.10E-05,0.000303376
KRT1,8.588512597,1.11E-05,0.00030511
STAG2,-1.740311433,1.11E-05,0.000305423
TICRR,5.630772687,1.12E-05,0.000308802
MKI67,3.763746847,1.14E-05,0.000312608
RYR2,3.055419831,1.16E-05,0.000318825
TMEM233,8.28728075,1.17E-05,0.000319628
P4HA3,6.48424023,1.17E-05,0.000320317
DNHD1,2.909959077,1.19E-05,0.0003251
TESPA1,5.493098343,1.19E-05,0.000325513
RAB8B,-2.915562949,1.21E-05,0.000330106
CD5L,7.168710162,1.22E-05,0.000332106
HOOK2,2.852120602,1.22E-05,0.000332106
DDX6,-2.010973352,1.27E-05,0.000343456
PAQR8,-3.101644449,1.29E-05,0.000348243
C6orf223,3.927644108,1.29E-05,0.000348243
NABP1,-2.796167564,1.29E-05,0.000348243
SERPINF1,-5.006788636,1.29E-05,0.000348243
SERPINF1,-5.006788636,1.29E-05,0.000348243
MEX3A,4.813049564,1.30E-05,0.00034976
RPS6KA1,-4.101618657,1.30E-05,0.00034976
RPS6KA1,-4.101618657,1.30E-05,0.00034976
DLX2,6.300134598,1.32E-05,0.00035448
HS6ST3,5.951021752,1.32E-05,0.000354926
MAL2,5.476671626,1.34E-05,0.000356763
NCAPH,6.322726878,1.34E-05,0.000356763
CBX7,-2.413309291,1.34E-05,0.000356763
LEPR,-2.446325751,1.34E-05,0.000356763
B4GALT2,3.030494653,1.37E-05,0.000364047
TSKS,7.118328766,1.38E-05,0.00036618
EVI2A,-2.669600716,1.38E-05,0.000367171
TRPV1,3.298928832,1.41E-05,0.000374654
LINC01239,7.522564187,1.42E-05,0.000375015
BIN2,-2.731087256,1.43E-05,0.000377471
KCTD1,3.42907489,1.47E-05,0.000386837
CFAP44,3.197725595,1.48E-05,0.000390238
CLASRP,2.242854796,1.48E-05,0.000390238
MEP1B,6.906689764,1.50E-05,0.00039436
VSIR,-3.06870623,1.52E-05,0.000398526
TMEM106B,-3.573279261,1.53E-05,0.000401732
SLC4A9,7.083124338,1.54E-05,0.000402147
OR6K2,10.00579834,1.57E-05,0.000409966
MIR1915HG,4.936836413,1.57E-05,0.000410123
P2RY12,-5.867118228,1.57E-05,0.000410123
TLX3,8.926394514,1.58E-05,0.000412091
KASH5,8.185802652,1.60E-05,0.000415991
ITPR2,-2.178727201,1.61E-05,0.000416703
B2M,-1.456232367,1.61E-05,0.000417879
B2M,-1.456232367,1.61E-05,0.000417879
OCLN,-3.886261268,1.65E-05,0.000426834
OCLN,-3.886261268,1.65E-05,0.000426834
AHNAK,-2.047174426,1.69E-05,0.000434811
LRRC71,4.456410463,1.69E-05,0.000434811
ARHGAP30,-2.971815865,1.69E-05,0.000434811
AFAP1L1,2.403309077,1.73E-05,0.000443714
IER5,-2.029742581,1.75E-05,0.000448275
SNORA65,3.220539719,1.76E-05,0.00045072
PGM5,-2.485799693,1.77E-05,0.000453473
TGM4,5.876966663,1.82E-05,0.000465554
TGM4,5.876966663,1.82E-05,0.000465554
DRP2,4.98925733,1.85E-05,0.000472628
CDH22,4.922932138,1.85E-05,0.000472628
SNORA13,-4.039805244,1.86E-05,0.000473374
STOM,-1.792640715,1.87E-05,0.000475932
C18orf63,9.754452012,1.88E-05,0.000478147
SSTR5-AS1,4.36988261,1.90E-05,0.000480804
SEMA4D,-2.331408488,1.90E-05,0.000481544
C1QB,-2.974398038,1.91E-05,0.000482372
LAIR1,-3.294132432,1.92E-05,0.000484945
LAIR1,-3.294132432,1.92E-05,0.000484945
LAIR1,-3.294132432,1.92E-05,0.000484945
LAIR1,-3.294132432,1.92E-05,0.000484945
LAIR1,-3.294132432,1.92E-05,0.000484945
RAB26,5.220354138,1.93E-05,0.000485726
GJD3,3.083589464,1.93E-05,0.000485726
KIAA2012,5.917193558,1.94E-05,0.000488095
KRT82,8.497046077,1.98E-05,0.000497749
LUC7L3,2.554091053,1.99E-05,0.000498705
NA,8.460657107,2.01E-05,0.000503528
DEPDC1,7.415188116,2.02E-05,0.000505027
SKAP2,-2.43063073,2.03E-05,0.00050629
WDR27,2.723221095,2.03E-05,0.000507733
SOAT1,-2.340856098,2.05E-05,0.000511577
SLCO5A1,6.259882377,2.08E-05,0.000518447
HCN1,4.89358609,2.10E-05,0.00052122
SNORA22,-3.382472559,2.10E-05,0.00052122
TLR1,-4.079608517,2.11E-05,0.000522248
TBXAS1,-3.525195534,2.11E-05,0.000522248
TNFSF10,-2.423021298,2.11E-05,0.000522248
LINC00898,8.736356161,2.16E-05,0.000532775
TCERG1L,4.742720491,2.17E-05,0.000534008
ADAMTS5,4.797661794,2.17E-05,0.000534008
FOXN3,-2.208598195,2.19E-05,0.000537959
PKD1L1-AS1,8.148215907,2.19E-05,0.000538321
ASIC2,7.081609834,2.19E-05,0.000538321
GOLGA2P9,8.111399853,2.21E-05,0.000540607
GPHB5,10.03847724,2.21E-05,0.000540639
ZC3H12A,2.612896687,2.23E-05,0.000545152
PRDM12,5.086768736,2.27E-05,0.00055343
TNFRSF13C,-6.503360999,2.27E-05,0.00055343
PLEKHS1,7.530051447,2.28E-05,0.000553438
LBR,-2.626863673,2.28E-05,0.000553438
RNF17,7.849933452,2.30E-05,0.000557586
CSMD1,4.107329758,2.30E-05,0.000557586
OR2F1,9.853467904,2.32E-05,0.000560617
OR2F1,9.853467904,2.32E-05,0.000560617
AJM1,5.542826606,2.33E-05,0.000562681
PSG6,8.23689686,2.34E-05,0.000563864
WIPF2,3.308829586,2.36E-05,0.000568019
NANOS2,10.11823861,2.38E-05,0.000574074
LINC01004,3.229417791,2.39E-05,0.00057556
UNCX,6.093522812,2.40E-05,0.000576249
SLIT1-AS1,10.11256919,2.40E-05,0.000576249
FCGR3A,-3.293088045,2.42E-05,0.000580378
FLJ42393,4.560549196,2.43E-05,0.000582355
GDNF-AS1,7.045970798,2.47E-05,0.000590102
RFX6,9.937679971,2.48E-05,0.00059126
MTRNR2L6,5.843208349,2.51E-05,0.000599129
MTRNR2L6,5.843208349,2.51E-05,0.000599129
SLC44A4,6.976893419,2.53E-05,0.000601756
SLC44A4,6.976893419,2.53E-05,0.000601756
SLC44A4,6.976893419,2.53E-05,0.000601756
SLC44A4,6.976893419,2.53E-05,0.000601756
SLC44A4,6.976893419,2.53E-05,0.000601756
SLC44A4,6.976893419,2.53E-05,0.000601756
SLC44A4,6.976893419,2.53E-05,0.000601756
SLC44A4,6.976893419,2.53E-05,0.000601756
MARCHF4,6.364073172,2.53E-05,0.000602404
XKR6,3.616968885,2.55E-05,0.00060618
AFF2,4.461717863,2.57E-05,0.000608605
OR5T1,8.694699884,2.60E-05,0.000615775
OR5T1,8.694699884,2.60E-05,0.000615775
HOXC5,8.498947991,2.64E-05,0.000625367
HOXC5,8.498947991,2.64E-05,0.000625367
SPAG5,3.586387321,2.65E-05,0.000626702
SH2D4B,4.031435338,2.73E-05,0.000644002
MFF,3.174766753,2.75E-05,0.000648339
CSMD2,5.903308944,2.79E-05,0.000655992
LINC00839,6.053137678,2.82E-05,0.000661667
ELOVL2-AS1,9.514622114,2.82E-05,0.000662281
LPAR5,-3.04737497,2.83E-05,0.000664011
NIPAL4,6.563390757,2.87E-05,0.000672252
TMPRSS3,7.241100872,2.89E-05,0.000675581
IRF4,4.721170921,2.91E-05,0.000678725
CNNM1,4.589963535,2.92E-05,0.000678936
CCDC177,6.034812557,2.92E-05,0.000678936
MTRNR2L4,4.805999066,2.99E-05,0.000695394
H2AC8,-3.417036527,3.02E-05,0.000700425
USP2-AS1,7.953529669,3.02E-05,0.00070171
GAA,-2.035894341,3.10E-05,0.000717668
TLR4,-3.030978313,3.14E-05,0.000725791
ATOH1,8.798044411,3.18E-05,0.000733421
EVI2B,-4.679157008,3.18E-05,0.000733421
CARM1,4.781204889,3.19E-05,0.000736033
C1orf21,4.602167327,3.23E-05,0.000742997
LINC02897,7.018209784,3.25E-05,0.000746762
LOC284933,9.810903382,3.25E-05,0.000747299
QKI,-1.860435467,3.26E-05,0.000748046
REG4,8.047510559,3.30E-05,0.000755821
DEFB129,8.940932634,3.31E-05,0.000755821
ARHGAP33,4.42452649,3.31E-05,0.000755821
LMAN1L,8.657941727,3.31E-05,0.000755821
MANBA,-2.556033183,3.32E-05,0.000755821
ALDH2,-2.365805654,3.33E-05,0.000757107
TOMM70,-3.011299078,3.33E-05,0.000757107
LOC440896,7.624436179,3.34E-05,0.000759356
LOC440896,7.624436179,3.34E-05,0.000759356
LINC00705,9.092516435,3.35E-05,0.000759383
ACY3,-7.488721262,3.36E-05,0.000762302
NA,4.473807213,3.37E-05,0.000762747
DBH-AS1,7.212814137,3.38E-05,0.000762964
TMC3,8.51043309,3.38E-05,0.00076377
CHST1,2.675411555,3.41E-05,0.000769036
JAM2,-2.453280365,3.45E-05,0.000777307
MARVELD3,8.031596381,3.47E-05,0.000780881
KCNA1,6.448398701,3.48E-05,0.000781455
TUSC7,6.728975365,3.49E-05,0.00078227
CCL4,-8.012607071,3.49E-05,0.000783085
CCL4,-8.012607071,3.49E-05,0.000783085
CCL4,-8.012607071,3.49E-05,0.000783085
CHRNA2,5.43663504,3.56E-05,0.000796911
SIM1,8.126510193,3.56E-05,0.000796911
NUP210P1,9.985119727,3.61E-05,0.000806327
LINC00670,8.713031619,3.62E-05,0.000806654
LAPTM5,-3.544703221,3.66E-05,0.000814439
ARL14EPL,8.100653713,3.66E-05,0.00081454
ZIC5,3.07665211,3.71E-05,0.000823301
NINJ1,-3.088258774,3.71E-05,0.000823301
CENPT,2.472955016,3.76E-05,0.000832466
IL2RA,5.697776747,3.78E-05,0.000837538
FCN3,5.507564717,3.81E-05,0.000841693
DNLZ,3.670852422,3.85E-05,0.00085044
UBE2QL1,4.933327411,3.89E-05,0.000858391
MMP15,3.441634903,3.90E-05,0.000858979
ABCA17P,4.993333447,3.91E-05,0.000860087
TNFRSF19,3.030826554,3.97E-05,0.000872698
CCDC85C,4.313712529,3.99E-05,0.000875899
ZDHHC11,5.449593008,3.99E-05,0.000875899
MFF-DT,7.732391113,4.03E-05,0.000882472
RNF13,-2.578444678,4.04E-05,0.000883533
ZSCAN10,7.244231035,4.05E-05,0.000884394
CD81,-2.491568061,4.05E-05,0.000884394
EN1,4.810009808,4.11E-05,0.000895031
SVBP,-3.198796408,4.12E-05,0.000897111
C19orf81,7.029180469,4.15E-05,0.000901886
KCNG1,4.530219649,4.17E-05,0.000906832
SKIDA1,4.106400381,4.24E-05,0.000919699
METTL17,2.308306529,4.36E-05,0.000945607
SCARNA6,-2.193451854,4.38E-05,0.000948707
SCARNA6,-2.193451854,4.38E-05,0.000948707
ACE,1.925296485,4.42E-05,0.00095563
RRP9,2.738000206,4.45E-05,0.000961122
SERINC2,4.473995691,4.51E-05,0.000972179
PAX1,6.46387447,4.55E-05,0.000980573
G6PC1,9.867687106,4.61E-05,0.000990687
CD68,-3.060569308,4.61E-05,0.000990687
C9orf24,6.297340443,4.61E-05,0.000990687
SLC12A3,4.833596309,4.64E-05,0.000995587
HOXC11,8.420206706,4.66E-05,0.000998924
GLCE,-2.749077753,4.73E-05,0.001012214
SLC36A2,8.517136289,4.76E-05,0.001015638
TNPO2,2.085168978,4.76E-05,0.001015638
LACTB,-4.212494054,4.77E-05,0.001018033
CDKL4,7.85823925,4.78E-05,0.001018956
AVEN,2.724072946,4.80E-05,0.001021235
FRMPD1,7.152793922,4.81E-05,0.001021235
HOXD10,7.756944812,4.81E-05,0.001021235
SLC25A41,6.091506311,4.82E-05,0.001021991
DZANK1,5.236740304,4.87E-05,0.001030504
CYBA,-1.96157455,4.87E-05,0.001030504
RASGEF1C,5.080373512,4.91E-05,0.001037301
ABCG4,8.454984936,4.92E-05,0.001037301
VSTM2L,4.549037247,4.92E-05,0.001037322
FIBCD1,5.484986751,4.93E-05,0.001038355
DCAF12L1,9.122015335,4.95E-05,0.001041049
C6orf62,-2.206965885,4.99E-05,0.001048222
CPVL,-4.729600623,5.00E-05,0.001049193
ADD3-AS1,9.323316035,5.09E-05,0.001064441
ADGRF4,9.323316035,5.09E-05,0.001064441
GIP,9.323316035,5.09E-05,0.001064441
PRDM16,4.374765063,5.10E-05,0.001064441
SPACA6,2.95744176,5.13E-05,0.001071253
EBF3,4.483130216,5.16E-05,0.001073631
PIEZO2,2.99408813,5.16E-05,0.001073631
PAQR5,-4.509669061,5.16E-05,0.001073631
ZNF827,4.809453123,5.18E-05,0.001075128
TRIM71,8.044919319,5.18E-05,0.001075128
FREM3,5.987444288,5.25E-05,0.001088089
DLG5-AS1,8.146420115,5.28E-05,0.001092513
CYP1B1,-3.028547048,5.31E-05,0.001098701
FRMPD4,4.967058417,5.33E-05,0.001100084
TEKT5,7.982792986,5.54E-05,0.001142356
LYVE1,-3.766273139,5.57E-05,0.001147803
MEX3D,2.383115569,5.59E-05,0.001150231
C1QL4,6.926930584,5.60E-05,0.001150736
BDKRB2,3.938344649,5.61E-05,0.00115114
OTOR,8.723229445,5.61E-05,0.00115114
SHC3,4.241058295,5.62E-05,0.001152504
TDRD5,6.339264674,5.71E-05,0.001168131
FGA,7.71580687,5.79E-05,0.001183363
ALK,6.000890228,5.80E-05,0.00118364
LOC574538,7.32868851,5.83E-05,0.001189294
LOC574538,7.32868851,5.83E-05,0.001189294
GRM5P1,9.289914906,5.89E-05,0.001200926
GRM5P1,9.289914906,5.89E-05,0.001200926
HGD,6.648868979,5.95E-05,0.001211368
LILRB1,-3.476091822,5.97E-05,0.00121318
LILRB1,-3.476091822,5.97E-05,0.00121318
LILRB1,-3.476091822,5.97E-05,0.00121318
LILRB1,-3.476091822,5.97E-05,0.00121318
LILRB1,-3.476091822,5.97E-05,0.00121318
LOC100131257,7.242032905,5.99E-05,0.001216297
SPIC,8.680525092,6.00E-05,0.001216297
SV2B,4.682835737,6.00E-05,0.001216297
HOXB8,7.731597805,6.02E-05,0.001217377
SALL1,-4.379571682,6.02E-05,0.001217377
SPEG,4.138216319,6.03E-05,0.00121811
CPSF7,3.279307494,6.04E-05,0.001218418
GLI2,7.748075129,6.05E-05,0.00121912
ARHGAP40,9.733904909,6.09E-05,0.001226184
CDH17,5.993785535,6.18E-05,0.001243848
TYMSOS,9.427400414,6.19E-05,0.001244102
HLA-J,4.854176108,6.23E-05,0.001250207
PCARE,6.633979161,6.27E-05,0.001256391
DNASE1L3,5.724040354,6.31E-05,0.001263459
SLC13A2,7.062041078,6.32E-05,0.001264026
POU4F2,4.707526594,6.36E-05,0.001270469
SERPING1,-2.753595662,6.37E-05,0.001270469
GYG2,5.546221477,6.41E-05,0.001276757
BHMT,6.983836362,6.41E-05,0.001276757
ATG4A,4.233580347,6.44E-05,0.001281164
CECR3,7.212333287,6.45E-05,0.001281164
P2RX7,-4.534723101,6.52E-05,0.001293924
IGF2-AS,8.013612521,6.61E-05,0.00130963
SSPN,-3.66409755,6.61E-05,0.00130963
DGKI,2.83037717,6.65E-05,0.001315057
WNT4,3.594116445,6.69E-05,0.001319928
TMEM123,-2.263931686,6.69E-05,0.001319928
PCDH8,5.830471235,6.70E-05,0.001319928
TPRN,3.207733461,6.71E-05,0.001319928
ADAMTS4,3.11661384,6.71E-05,0.001319928
SNX32,5.726344007,6.71E-05,0.001319928
CYTOR,3.781147933,6.77E-05,0.001330251
RP1,3.798526781,6.83E-05,0.001340688
ADHFE1,4.17943086,6.84E-05,0.001340943
LTK,5.372232996,6.87E-05,0.001342049
CEACAM20,8.381965742,6.87E-05,0.001342049
RTL1,5.019853935,6.87E-05,0.001342049
TMC5,5.823247944,6.95E-05,0.001356937
TTC26,3.995093381,7.04E-05,0.001372964
KRT24,8.379144334,7.11E-05,0.001384025
NA,4.244536143,7.13E-05,0.001387114
PTGDS,-3.043256996,7.16E-05,0.001392318
ATP2B1-AS1,-5.98874695,7.22E-05,0.001402247
OR51D1,9.483839691,7.24E-05,0.00140379
TEX21P,8.007899178,7.25E-05,0.001404384
ARPP19,-1.895108147,7.27E-05,0.001407123
FLG,4.752749645,7.39E-05,0.001429597
TBX1,3.690630497,7.43E-05,0.00143428
ZNF713,3.557252162,7.44E-05,0.00143513
IRX4,7.270673497,7.56E-05,0.001456784
BSPRY,7.064450176,7.57E-05,0.001456784
DNAAF1,7.857382161,7.67E-05,0.001475568
FOXP2,-3.712429057,7.70E-05,0.00147989
KLK13,6.123796681,7.73E-05,0.001483493
ADAMTS18,5.703628766,7.75E-05,0.001486052
FETUB,9.943186845,7.78E-05,0.001490294
COMP,6.564007137,7.84E-05,0.001499055
OTC,8.120608128,7.92E-05,0.001513603
C1QL2,4.360515878,7.95E-05,0.001518293
HOXA7,8.686405312,7.97E-05,0.001519579
AKAP11,-2.269678523,8.05E-05,0.001534347
ANKS1B,5.163945514,8.09E-05,0.001538832
PKD2L1,7.133590128,8.19E-05,0.001556806
FBXO34,-2.593736587,8.22E-05,0.001561503
LOC100506472,4.182355561,8.25E-05,0.001565669
TENM3,6.121625923,8.37E-05,0.001585895
PLA2G4E,7.901066357,8.38E-05,0.001585895
GLP1R,8.469632901,8.41E-05,0.001588379
KCNA7,8.469632901,8.41E-05,0.001588379
TCIM,2.776514092,8.45E-05,0.001594548
GID8,-2.926911494,8.48E-05,0.001600038
PKMYT1,7.265180281,8.54E-05,0.001608234
TMEM59,-2.449892506,8.56E-05,0.001611079
STK36,3.584657033,8.68E-05,0.001631229
C6orf132,4.75458643,8.69E-05,0.001631229
TSPYL6,6.837608505,8.73E-05,0.001637219
LINC01347,6.586239841,8.74E-05,0.001637219
LINC01347,6.586239841,8.74E-05,0.001637219
LINC01347,6.586239841,8.74E-05,0.001637219
ZNF571-AS1,5.147589276,8.76E-05,0.001640709
OMA1,-5.962949699,8.78E-05,0.001642037
